Time,Vehicle ID,X,Y,Lat,Long,Speed,tile_name,matrix_indices,row_number
13,3,1360.1033305664985,115.0335049651205,36.9063607274875,-1.188591951186033,20.40552817473654,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",94
13,4,1389.164852235588,429.904445713543,36.9066239183311,-1.1857453405085407,11.205091682974247,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",95
13,5,1470.946604637414,410.92668190971233,36.907358404018446,-1.1859174814733484,7.811284414958993,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",96
13,6,1311.0349880956287,469.5408935834708,36.9059223769531,-1.1853864453576235,7.288418711157206,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",97
13,7,1448.683996861909,506.1549527161372,36.9071590741034,-1.185056351470217,2.2559050808753804,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",98
13,8,1497.0771419754217,400.48426970283833,36.90759305392271,-1.186012072086414,9.947868185536937,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",99
13,9,1358.5765207059903,451.58009798705257,36.90634930227365,-1.1855491575145158,8.541767448442988,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",100
14,0,1395.3132355039306,414.1419572235082,36.90667903982092,-1.1858878943118143,14.47723174009705,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",101
14,10,1376.55,441.02,36.90651067943466,-1.1856447563349468,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",102
14,11,1343.262636771036,345.0769684506757,36.90621101954912,-1.1865119682156235,6.206377868866548,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",103
14,12,1372.3449598867392,432.0617083529967,36.90647284629167,-1.185725721242177,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",104
14,13,1511.2068496493482,317.37865360154655,36.9077194111388,-1.186763543396086,1.3767537745647134,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",105
14,14,1406.28,399.82,36.90677745279167,-1.1860174569551103,0.0,"['(10, 10)_2_1_osm', '(10, 10)_2_1_pcd']","(2, 1)",106
14,2,1442.8266064451552,506.3584696079634,36.90710646076721,-1.1850544714084512,6.489957051051221,"['(10, 10)_3_1_osm', '(10, 10)_3_1_pcd']","(3, 1)",107
14,3,1362.371781442419,137.82465030396082,36.90638125937046,-1.18838590755886,22.917933380021715,"['(10, 10)_2_0_osm', '(10, 10)_2_0_pcd']","(2, 0)",108
